GRIDCODE	CVENMUN	Fb
645319	08037	0.000227716
645320	08037	0.001845832
645321	08037	4.08009E-05
645321	08037	0.002337629
645322	08037	0.00206889
645322	08037	0.000588544
645322	08037	0.000205028
645323	08037	0.000127068
645323	08037	0.002735394
645324	08037	0.002077868
645324	08037	0.000784594
645325	08037	0.00235451
645325	08028	0.002750939
645326	08028	0.010071204
645326	08028	0.003723162
645326	08028	0.001708003
645327	08028	0.001214593
645327	08028	0.014287776
645328	08028	0.01550237
645329	08028	0.015243271
645330	08028	0.01168192
646361	08005	0.007523112
646362	08005	0.005228266
646362	08005	0.002294845
646363	08037	0.000164589
646363	08005	0.000130959
646363	08005	0.00695958
646364	08037	0.001105514
646364	08005	0.004617605
646365	08037	0.002146039
646365	08005	0.001882901
646366	08037	0.002843972
646366	08005	4.85959E-05
646367	08037	0.002862462
646368	08037	0.002862462
646369	08037	0.002862462
646370	08037	0.002862462
646371	08037	0.002862462
646372	08037	0.002862462
646373	08037	0.002862462
646374	08037	0.001101179
646374	08037	0.001761282
646375	08037	0.001486938
646375	08037	0.001375524
646376	08037	1.26469E-05
646376	08037	0.002849815
646377	08037	0.00196578
646378	08037	0.000920745
646379	08037	0.000168943
646379	08037	0.001065442
646380	08037	0.002189583
646380	08037	0.000224424
646380	08037	0.000448455
646381	08037	0.000669289
646381	08037	0.002193173
646382	08037	0.001531681
646382	08037	0.001330781
646383	08037	0.002862462
646384	08037	0.001873756
646384	08028	0.00535458
646385	08028	0.01550237
646386	08028	0.008344789
646386	08028	0.001607926
646386	08028	0.005549655
646387	08028	0.004348738
646387	08028	0.011153632
646388	08028	0.000274459
646388	08028	0.006471223
646389	08028	3.15857E-05
647420	08005	0.005297581
647420	08005	0.002225531
647421	08005	0.000317352
647421	08005	0.00720576
647422	08005	0.007523112
647423	08005	0.007523112
647424	08005	0.007523112
647425	08037	0.001658897
647425	08005	0.003163204
647426	08037	0.002862462
647427	08037	0.002862462
647428	08037	0.002862462
647429	08037	0.002862462
647430	08037	0.002862462
647431	08037	0.002862462
647432	08037	0.002862462
647433	08037	0.000154618
647433	08037	0.002707844
647434	08037	0.002862462
647435	08037	0.002862462
647436	08037	0.002862462
647437	08037	0.002327672
647438	08037	0.001037082
647438	08037	0.000162638
647438	08037	0.000251309
647439	08037	0.001439461
647439	08037	0.001423001
647440	08037	0.002227373
647440	08037	0.000635089
647441	08037	0.002862462
647442	08037	0.002862462
647443	08037	0.002207107
647443	08028	0.003549238
647444	08037	2.43873E-05
647444	08028	0.015370294
647445	08037	1.41384E-05
647445	08028	0.006686405
647445	08028	0.008739395
647446	08028	0.01550237
647447	08028	0.007430119
647447	08028	0.00232245
648479	08005	0.000138083
648479	08005	0.007385028
648480	08005	0.007523112
648481	08005	0.007523112
648482	08005	0.007523112
648483	08005	0.007523112
648484	08037	0.000283441
648484	08005	0.006778173
648485	08037	0.000394342
